"","210787_s_at","205461_at","207730_x_at","202434_s_at","203890_s_at","212107_s_at","206439_at","201044_x_at","217607_x_at","217675_at","204560_at","215660_s_at","217248_s_at","202601_s_at","215600_x_at","214040_s_at","208629_s_at","202340_x_at","208965_s_at","211277_x_at","201465_s_at","200796_s_at","207574_s_at","222339_x_at","214251_s_at","201679_at","206824_at","203496_s_at","220221_at","207499_x_at","211876_x_at","208499_s_at","212027_at","215208_x_at","202773_s_at","217924_at","200671_s_at","200917_s_at","215067_x_at","207334_s_at","208900_s_at","220720_x_at","209959_at","218228_s_at","221017_s_at","221031_s_at","221638_s_at","217007_s_at","213986_s_at","205210_at"
"GSM1337314",4.20945336562895,1.84799690655495,9.26631805715745,4.32912359629157,5.86294724802092,6.67948009950545,5.08321336824898,4.88752527074159,2.78659636189081,1.37851162325373,3.58496250072116,4.26303440583379,3.36457243229586,3.76553474636298,7.66249036391378,3.05311133645956,8.07360604057494,5.24792751344359,8.87743752197062,6.60436789989375,5.73335434061383,5.8972404255748,10.3491706308611,3.88752527074159,2,6.53760669149529,2.90689059560852,4.47248777146274,5.22881869049588,6.47897180503294,2,5.8703647195834,6.98299357469431,3.76553474636298,2.84799690655495,6.88752527074159,5.01792190799726,1.92599941855622,7.21140163741847,3.26303440583379,6.90809234081827,8.04439411935845,6.28355142317431,6.90327934205614,3.35049724708413,8.72075727733199,3.99095486039699,6.94251450533924,5.34695688937888,3.84799690655495
"GSM1337315",3.60880924267552,3.67807190511264,8.60622012128167,3.26303440583379,6.3819754785573,4.21723071622067,5.25171909260596,6.27239650903748,1.48542682717024,0.765534746362977,2.58496250072116,3.70043971814109,1.48542682717024,3.33628338786443,7.43379405875492,3.70043971814109,8.14567745519564,7.3037807481771,8.68894962811967,6.46270675067016,7.41869594960205,2.67807190511264,11.39590895185,2.76553474636298,2.4594316186373,5.22496636500027,2.32192809488736,3.8972404255748,5.85049941375812,6.27798474729977,2.16992500144231,4.95884267524324,7.13545278418517,5.5077946401987,4.79181407116183,6.5438051759644,4.5909612413426,5.16992500144231,6.5668151540109,3.59693514238723,6.16390121381454,7.01903466936434,5.39917109381982,7.31831684133498,1.8073549220576,11.053722288374,5.00450139223494,5.78920757534734,6.22303633790187,3.82781902461732
"GSM1337316",3.68929916053589,3.51096191927738,9.53508093022373,3.51096191927738,5.53915881110803,6.58796498888268,5.4093909361377,4.39917109381982,2.53605290024021,1.53605290024021,2.96347412397489,3.73335434061383,2.4594316186373,2.10433665981474,8.18040648531064,2.94485844580754,8.73030029846004,6.1106138055009,9.38650920407793,6.0639343057541,5.35755200461808,4.25550073314839,10.2499430305315,3.84799690655495,3.15380533607904,4.90689059560852,2.13750352374994,2.74416109557041,5.55151601762801,7.2667865406949,2.37851162325373,6.42122329922514,7.67101024127845,4.4594316186373,4.13750352374993,5.98413359454098,4.09592441999854,3.52356195605701,7.37851162325373,3.39231742277876,7.4487357980294,8.27146302790437,5.31469652565629,7.95535930524299,2.88752527074159,9.28355142317431,3.877744249949,6.24792751344359,5.90448409790142,4.19377174339668
"GSM1337317",3.84799690655495,3.36457243229586,9.65928239338433,2.43295940727611,5.61765111942733,6.27239650903748,5.12928301694497,2.94485844580754,3.21723071622067,0.84799690655495,2.40599235967584,3.70043971814109,2.94485844580754,2.51096191927738,8.77840572423918,4.32192809488736,8.17642251304224,6.30560578958543,9.05826237186247,7.07788386443832,6.63226821549951,4.27052894238072,10.065550770955,2.84799690655495,2.56071495447448,3.57288966842058,2.26303440583379,5.80992886572143,6.06608919045777,5.72519581722666,2.03562390973072,6.90568784852686,7.56376827845203,5.62935662007961,3.10433665981474,6.87159726561385,1.43295940727611,4.34340782229781,7.84486265583082,2.78659636189081,6.09592441999854,8.32508054355428,6.5909612413426,7.22013644739608,2.92599941855622,9.06904691126817,5.18189764310839,6.35226417325832,5.44625622988956,3.01792190799726
"GSM1337318",3.18586654531133,2.40599235967584,8.86604249709684,3.08746284125034,5.98641093525204,5.35755200461808,5.38543103719352,2.03562390973072,2.70043971814109,1.20163386116965,2.63226821549951,3.0703893278914,2.53605290024021,3.20163386116965,7.77016832010343,5.06177619758669,8.85174904141606,6.90809234081827,7.96520709119934,6.94251450533924,7.26584942144085,2.53605290024021,10.9282962912016,3.71149490665009,1.84799690655495,1.84799690655495,2.16992500144231,4.33628338786443,4.63226821549951,6.34695688937888,1.20163386116965,5.95652136333312,6.85424505422013,3.65535182861255,5.21723071622067,6.63807383718072,6.69348695749933,4.32192809488736,7.14771372235215,1.96347412397489,6.6906964439777,7.30651744524982,6.79701297783614,6.92837032301897,3.74416109557041,10.0608310091691,5.69488019279919,6.2364926183813,5.53605290024021,3.29278174922785
"GSM1337319",5.97727992349992,5.01346225980656,8.58383495471543,2.37851162325373,6.42794133250948,5.7839804136838,5.22110372536788,7.25550073314839,3.08746284125034,1.72246602447109,5.51727569320958,5.64385618977472,1.72246602447109,5.60880924267552,6.86666075081999,3.33628338786443,8.12876767668555,7.16087986183931,9.47390864604629,6.69348695749933,7.65749710044411,5.2364926183813,11.0071674636815,2.65535182861255,2.29278174922785,4.69488019279919,2.72246602447109,5.65248649491816,5.77082904603249,5.3327079336406,1.48542682717024,6.65105169117893,7.66959375118833,3.30742852519225,5.5298209465287,6.34872815423108,3.82781902461732,4.45285896471381,6.02458563827827,5.69766263347052,6.24982454861618,6.73335434061383,4.78135971352466,7.54920708935568,2.88752527074159,9.81153525163608,3.77610398807316,6.47248777146274,6.2460279805281,4.29278174922785
"GSM1337320",4.64961545906341,3.8972404255748,8.85330955540367,2.70043971814109,6.28355142317431,4.35755200461808,5.75755668893945,2.65535182861255,3.64385618977472,0.678071905112638,3.40599235967584,4.15380533607904,1.13750352374994,3.01792190799726,6.27984269352035,3.23266075679027,7.20652601587743,5.77346892790519,7.22013644739608,6.61470984411521,4.16188768237689,5.27426166125705,10.2084782422117,3.18586654531133,1.96347412397489,3.57288966842058,2.35049724708413,5.02236781302845,5.38543103719352,6.3327079336406,2.88752527074159,6.09169983413681,6.63081315229913,3.95419631038688,6.55305325276641,6.04439411935845,3.47248777146274,4.92124588858559,6.43962313755712,2.48542682717024,5.91169158187234,7.31831684133498,4.7279204545632,8.94456566142482,2.78659636189081,7.29186136958522,5.27426166125705,5.97956810009519,3.24792751344359,4.37155886261196
"GSM1337321",5.87282875953489,3.56071495447448,9.2309811116465,2.37851162325373,6.00898878322726,3.40599235967584,6.21723071622067,4.43962313755712,3.53605290024021,0.84799690655495,6.26491169307446,3.6667565918848,3.53605290024021,5.8801957289431,7.87098112422465,2.65535182861255,8.7431513941125,6.4178525148859,8.95535930524299,6.39059890555246,4.26303440583379,4.5298209465287,10.020702203791,3.26303440583379,3.78659636189081,4.98185265328974,3,6.69905184401685,4.51727569320958,6.28355142317431,1.37851162325373,6.2460279805281,8.02181282358484,3.49825086752783,4.30742852519225,6.31288295528436,3.67807190511264,4.34340782229781,7.28632672709055,2,7.35226417325832,7.43712784427281,5.24031432933371,5.61470984411521,4.19377174339668,8.37373520190066,4.85798099512757,6.54070926267143,6.24792751344359,5.0574502721839
"GSM1337322",5.36457243229586,3.79701297783614,10.8696709494133,2.13750352374994,4.73876783680019,5.44956137461324,5.41278152533848,4.84799690655495,4.32912359629157,1.43295940727611,4.00898878322726,4.65535182861255,2.10433665981474,4.66106547980695,9.46617845107788,2.74416109557041,8.79798569056491,7.94016675048282,8.8838651545098,8.35314682549808,7.16087986183931,2.0703893278914,10.5493996412466,4.84297883178833,3.62058641045188,4.12101540096137,4.00898878322726,5.94953493301701,6.69627208392586,5.49185309632967,1.63226821549951,7.42710328715284,9.07253459972295,7.03121873061072,4.5668151540109,6.56833618213375,2.16992500144231,5.58195375084882,8.51175265376738,3.79701297783614,7.66320227857954,9.57383650512904,5.03121873061072,8.28771237954945,2.90689059560852,10.16691625157,3.65535182861255,6.05311133645956,6.06608919045777,5.99322146736894
"GSM1337323",4.08746284125034,3.01792190799726,10.4377520723236,3.51096191927738,5.46923479366766,4.72246602447109,6.74011804283313,3.41953889151378,3.13750352374994,1.43295940727611,2.63226821549951,3.84799690655495,5.08321336824898,2.88752527074159,8.82400405093315,4.05311133645956,8.12979817318714,9.01820017881323,7.91169158187234,7.3327079336406,8.31061278165953,3.94485844580754,10.2866732649939,3.74416109557041,3.39231742277876,2.51096191927738,2.26303440583379,2.88752527074159,6.77346892790519,7.74079267227768,2.16992500144231,6.5909612413426,7.09697863637054,4.13750352374993,3,6.54225804976692,3.74416109557041,3.8972404255748,7.98527271425345,4.17791779219584,6.63226821549951,8.93545974780529,7.1568415245884,7.79246495997994,3.68929916053589,9.61581352518973,5.72246602447109,6.32553033156756,5.98641093525204,3.52356195605701
